CustomerName,CustomerNational,CustomerType,RoomType,Duration,Positive_Review,Negative_Review,CustomerPoint,Review_Title,HotelName
The,Bỉ,Khách lẻ,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",3 đêm,"This is a new hotel, opened like a year ago. All facilities are top notch: lovely room, modern, everything perfect. Very friendly and helpful staff. The gym was the best I ever had in a hotel and even better than most official gyms! Great view from the room and no outside noise. Location pretty close to the city centre. Free minibar is a nice extra. good choice in breakfast. Great value for money!

9 out of 10

10 = I want to live here
9= I don't want to leave
8= Would love to come back
7= It was ok
6= just enough
5 or less = I regret staying here.","Minor things: 

- Gym is state of the art, but it doesn't look like the AC is adapted to the room. During cardio I sweated like a pig after only 15 min.
- Pool is a bit small and with a dull view.
- I was informed there were constructions going on on the top floor from 10 am, but it started at 8 am. I have understanding for this inconvenience, but please inform your guests correct.","9,0",Great place to stay in Da Nang!,Bay Capital Danang
Kieran,Vương Quốc Anh,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,The facilities were all excellent and the hotel felt very spacious.,Food was average and room service trays weren’t cleared after eating.,"9,0","The rooms are exceptional, amazing views and really modern. I loved using the gym and sauna.",Bay Capital Danang
Aleksandrina,Thái Lan,Cặp đôi,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",3 đêm,Nice new hotel,Little far from the beach,"9,0",Recommend,Bay Capital Danang
Bruno,Úc,Phòng gia đình,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",3 đêm,"Nice, clean and modern hotel, great staff, good breakfast, nice bedroom with comfortable beds.","Generally all was great with few small exceptions such as no choice of snacks selection in executive lounge as seen in most other similar hotels and swimming pool almost attached to breakfast lounge windows. Not so centrally located if you want to walk it to the Dragon bridge but the staff were always quick to get a taxi fir a few minutes short ride to anywhere. These are all just relatively small anomalies, as for all the rest a really great hotel, all trying to make one's stay terrific.","9,0",Tuyệt hảo,Bay Capital Danang
Unchart,Mỹ,Cặp đôi,Phòng Deluxe Nhìn Ra Sông Có Giường Cỡ King Và Bồn Tắm - Bao Gồm Miễn Phí Minibar Và 30 Phút Trị Liệu Spa/Đợt Lưu Trú,3 đêm,Great breakfast many choices. Amazing staff that goes above and beyond!,,10,Amazing had a great time,Bay Capital Danang
Trager,Mỹ,Khách lẻ,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",3 đêm,Really like this place. It is a fairly new hotel and super nice. Very high quality and is luxury. Was really imprressed and the staff is super super nice like a very high end 5star hotel. You can tell the management really knows what they are doing in training and all the details are paid attention to. Could not recommend more and I live around the world in hotels over 300 days a year. 10+++ stars,Can't comment on breakfast since I really didn't try. But nothing. Hard pressed to think of anything I would do different if owned the hotel.,10,Exceptional!!!,Bay Capital Danang
Masooda,Nam Phi,Cặp đôi,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",4 đêm,"Loved the room and bathroom. All new, spotlessly clean, stunning white Linen and towels.very spacious room and loved the view of de nang and the river. Breakfast was great with a good variety. Spent a lot of time cooling in the pool. Staff were professional and extremely helpful. All in all an excellent stay.",,10,Xuất sắc,Bay Capital Danang
Judith,Pháp,Phòng gia đình,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",2 đêm,"We stayed for three nights in Da Nang. After being disappointed with another hotel for our first night, we changed to stay at The Bat Capital Resort. Everything was simply perfect! We wish we could have stayed longer! 
Amazing location, super clean, great views, very attentive staff speaking perfect English!","Just a quick suggestion: adding more lighting in the entrance where the luggage is stored would be helpful, as finding things can get a bit tricky. But honestly, the service is great!",10,Amazing!!,Bay Capital Danang
Abdulla,Qatar,Khách lẻ,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,The hotel staff very high standards hotel room very nice,Location it’s not great but not bad,10,I enjoyed my stay here,Bay Capital Danang
Ivy,Mỹ,Khách lẻ,"Phòng Deluxe Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Minibar Miễn Phí",1 đêm,"Gorgeous views, comfortable beds, beautiful bathrooms, wonderful pool. The staff was outstanding and helpful from check in (they offered me a room several hours early) to check out (they offered excellent travel advice for the rest of my time in Vietnam!)","The pool doesn’t have umbrellas, so depending on the time of day you might not be able to find shade.",10,Xuất sắc,Bay Capital Danang
Hidemitsu,Úc,Cặp đôi,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",2 đêm,"Location is nice & handy.
Room is nice size & modern. Beak first is good balance.
Staff is so helpfully.",,"9,0",I will be book again.,Bay Capital Danang
Camilla,Thụy Điển,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,Such an amazing hotel and experience! The hospitality and service from the staff are exceptional! Søren from the staff was so friendly and made sure we had a great time!:) Super clean and new facilities and lovely breakfast buffe. We will come back😊,,10,Exceptional,Bay Capital Danang
Eliza,Úc,Cặp đôi,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",3 đêm,"Staff were wonderful and very kind. The room was also very big and spacious, and the hotel was in a good location.","I booked a club room, yet wasn't able to receive buffet breakfast at the Executive Lounge like advertised. Instead, I was told to go down to the usual floor. I would recommend booking a normal room. Breakfast was a bit mediocre but in a nice and comfortable restaurant.","9,0",Good,Bay Capital Danang
Keith,Canada,Cặp đôi,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",2 đêm,"Very clean, excellent service",,10,Xuất sắc,Bay Capital Danang
Zicong,Singapore,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,"Exceptional staff that were attentive and friendly. Everything in Danang was either a short walk or a quick grab ride away.
Also, super delicious welcome drink which the staff were more than kind enough to serve us everyday :)",Nothing!,10,11/10 stay. Totally would stay again.,Bay Capital Danang
Anh,Việt Nam,Khách lẻ,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,3 đêm,"New hotel, staffs are very friendly and supportive. The view is very beautiful, the room is nice and clean, bed is comfortable. Very good breakfast buffet with so many options.",,10,Xuất sắc,Bay Capital Danang
Ngoc,Việt Nam,Nhóm,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,Everything was perfect. Staffs were helpful,,10,Xuất sắc,Bay Capital Danang
Hannah,Vương Quốc Anh,Phòng gia đình,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",1 đêm,Contemporary hotel with good facilities and friendly and efficient staff.,Nothing,"9,0",Excellent one night stay close to Danang airport,Bay Capital Danang
Joseph,Úc,Phòng gia đình,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",1 đêm,"Smart new hotel, staff were fantastic, engaging and helpful. Great views",,10,Xuất sắc,Bay Capital Danang
Jodie,Úc,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,"Really liked this place, everything we needed. Staff were very friendly and helpful. Rooms were spacious",,"9,0",Thanks for a great stay,Bay Capital Danang
Rebecca,Đức,Nhóm,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,The whole hotel was really nice. The rooms are clean and quiet and the staff is really friendly. We also did a massage for a good price which was really nice! The breakfast was really good with a lot of western and Asian options.,,10,Amazing hotel,Bay Capital Danang
Gay,Úc,Phòng gia đình,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,Great room with great view. Excellent bathroom facilities.,Beds were too hard. Breakfast at the hotel was very expensive so we had to eat out every day.,"9,0",Wonderful staff and great location.,Bay Capital Danang
Elie,Mỹ,Cặp đôi,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",3 đêm,"Modern decor with fantastic views, great breakfast buffet with separate vegan menu, had the best 2 massages at the spa. Staff was accommodating and kind.",Nothing to dislike!,10,beautiful luxury hotel in a great location for great value,Bay Capital Danang
Sabarati,Úc,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,2 đêm,Nice and clean and new people are friendly and helpful,None,10,Will come back and recommend to friends and families,Bay Capital Danang
Theodor,Đức,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,3 đêm,"5-star accommodation as expected. Great choices at breakfast, both Vietnamese and Western. Very considerate staff. Good value for money compared to alternatives. Free minibar.",,10,Combines 5 star level & value for money,Bay Capital Danang
Lenny,Mỹ,Phòng gia đình,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,2 đêm,"The view was amazing and
The staff was exceptional",Pool was small,10,Xuất sắc,Bay Capital Danang
Folli,Canada,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,Clean with friendly competent staff,,"9,0",Pleasurable,Bay Capital Danang
Meena,Vương Quốc Anh,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,2 đêm,"Brand new hotel with great restaurant 
The room was really good with great AC 
Staff were all really nice",Nothing,10,Great hotel with good AC,Bay Capital Danang
Julia,Thụy Sỹ,Cặp đôi,Phòng Deluxe 2 Giường Đơn,2 đêm,The room was very nice and with a great view. The staff was extremely helpful and nice without being intrusive.,,10,Xuất sắc,Bay Capital Danang
Mark,Úc,Phòng gia đình,Suite Căn Hộ Premium Club,5 đêm,"Great service and extras provided with our booked room. Facilities were great, convenient location and staff very friendly and accommodating.",,10,"Very comfortable, friendly staff, good location",Bay Capital Danang
Janet,Mỹ,Khách lẻ,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,3 đêm,"The staff was very helpful, somehow always greeted me by name, which was a nice touch. They were very helpful in getting a car service for me and helping me navigate the city.
The buffet breakfast was great. One server said to me ""Think you'd like the coconut coffee."" And yes I did! Again. very helpful, it was clear they want their guests to enjoy their stay.","The service in the lobby lounge was not great, just not the same attentive service that I experienced everywhere else on the property. Maybe the person was new or needed more training, but I didn't;t feel taken care of there, more like I had to fend for myself and get up and go the the bar ate order my drink. He was on his phone when I did and it felt like I as interrupting his scrolling.",10,Effortless Comfort in Danang,Bay Capital Danang
Tahsin,Thổ Nhĩ Kỳ,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,"Nice hotel, friendly and extremely helpful staff, good breakfast","English speaking levels are not amazing, hotel’s bar was under renovation, rooms were small, when shower gel/soap finishes it takes them half an hour to replace","9,0","Good place, helpful staff",Bay Capital Danang
Laura,Thụy Sỹ,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,"Very good hotel, staff very polite and professional. Rooms are big enough and clean. Breakfast outstanding.","Around the hotel there are not many restaurants, you have to walk for 15 minutes to find more options.",10,Xuất sắc,Bay Capital Danang
Scott,Mỹ,Khách lẻ,"Phòng Premium Có Giường Cỡ King, Tầm Nhìn Ra Sông Và Bồn Tắm - Quyền Sử Dụng Club Lounge",4 đêm,I seldom give the highest rating - this hotel earned it! The staff provided exceptional service!,,10,Stay here!,Bay Capital Danang
Bloom,Mỹ,Khách lẻ,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,4 đêm,The staff was superior. The hotel was spotless. Modern. Truly beautiful. I wish I could stay here longer as I will for sure stay here again if I return to Da Nang,Nothing,10,The perfect hotel.,Bay Capital Danang
Alina,United Arab Emirates (Các Tiểu Vương Quốc Ả Rập Thống Nhất),Khách lẻ,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,3 đêm,"I like my room, view and staff was very friendly and polite","I didn’t like smell of shower gel, shampoo and soap",10,In general I like everything,Bay Capital Danang
Quan,Canada,Phòng gia đình,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,1 đêm,"Staff were all attentive, and the level of service was incredible! Hotel is beautiful, the location is great, I would give this hotel an 11 out of 10 if could. Came with my family of 4 including 2 kids who absolutely loved this hotel, rooms are super clean and beautiful, and the view was amazing!!! Will definitely be returning to this hotel!","Nothing, everything was great!",10,11/10 Best Hotel Ever!!!,Bay Capital Danang
Kaoru,Nhật Bản,Nhóm,Phòng Deluxe 2 Giường Đơn,1 đêm,Staffs were very kind and their service was very nice.,,"9,0",Tuyệt hảo,Bay Capital Danang
Felix,Mỹ,Khách lẻ,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,3 đêm,"Everything about this place was amazing. All of the staff treated me with such kindness and respect. Huge shout out to Annie, Ky, Adelia, and Uyen for making my stay extra special. One of the nicest hotels I’ve ever stayed in and the gym is amazing!",Absolutely nothing.,10,"Beautiful, Clean and so Accommodating.",Bay Capital Danang
Melcb1,Úc,Cặp đôi,Phòng Deluxe Có Giường Cỡ King Nhìn Ra Thành Phố - Minibar Miễn Phí,3 đêm,"Incredible new hotel near the river. the staff were professional, attentive and kind
Breakfast was delicious and we loved the traditional vietnamese dishes on offer
The gym was huge with brand new equipment and beautiful view - we loved it!
Our room was quiet and cool, it was an oasis away from the hustle and bustle, within a great location. It felt like a luxurious getaway and we enjoyed every minute of our stay.",,10,Incredible stay - would highly recommend!,Bay Capital Danang
